cod_classe;desc_classe;grupo
43.99-1;Serviços especializados para construção não especificados anteriormente;43.9
45.11-1;Comércio a varejo e por atacado de veículos automotores;45.1
45.12-9;Representantes comerciais e agentes do comércio de veículos automotores;45.1
45.20-0;Manutenção e reparação de veículos automotores;45.2
45.30-7;Comércio de peças e acessórios para veículos automotores;45.3
45.41-2;Comércio por atacado e a varejo de motocicletas, peças e acessórios;45.4
45.42-1;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;45.4
45.43-9;Manutenção e reparação de motocicletas;45.4
46.11-7;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;46.1
46.12-5;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;46.1
46.13-3;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;46.1
46.14-1;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;46.1
46.15-0;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;46.1
46.16-8;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;46.1
46.17-6;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;46.1
46.18-4;Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;46.1
46.19-2;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;46.1
46.21-4;Comércio atacadista de café em grão;46.2
46.22-2;Comércio atacadista de soja;46.2
46.23-1;Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja;46.2
46.31-1;Comércio atacadista de leite e laticínios;46.3
46.32-0;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas;46.3
46.33-8;Comércio atacadista de hortifrutigranjeiros;46.3
46.34-6;Comércio atacadista de carnes, produtos da carne e pescado;46.3
46.35-4;Comércio atacadista de bebidas;46.3
46.36-2;Comércio atacadista de produtos do fumo;46.3
46.37-1;Comércio atacadista especializado em produtos alimentícios não especificados anteriormente;46.3
46.39-7;Comércio atacadista de produtos alimentícios em geral;46.3
46.41-9;Comércio atacadista de tecidos, artefatos de tecidos e de armarinho;46.4
46.42-7;Comércio atacadista de artigos do vestuário e acessórios;46.4
46.43-5;Comércio atacadista de calçados e artigos de viagem;46.4
46.44-3;Comércio atacadista de produtos farmacêuticos para uso humano e veterinário;46.4
46.45-1;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico;46.4
46.46-0;Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal;46.4
46.47-8;"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações";46.4
46.49-4;Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;46.4
46.51-6;Comércio atacadista de computadores, periféricos e suprimentos de informática;46.5
46.52-4;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;46.5
46.61-3;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";46.6
46.62-1;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";46.6
46.63-0;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";46.6
46.64-8;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";46.6
46.65-6;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";46.6
46.69-9;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";46.6
46.71-1;Comércio atacadista de madeira e produtos derivados;46.7
46.72-9;Comércio atacadista de ferragens e ferramentas;46.7
46.73-7;Comércio atacadista de material elétrico;46.7
46.74-5;Comércio atacadista de cimento;46.7
46.79-6;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral;46.7
46.81-8;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP;46.8
46.82-6;Comércio atacadista de gás liqüefeito de petróleo (GLP);46.8
46.83-4;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;46.8
46.84-2;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos;46.8
46.85-1;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;46.8
46.86-9;Comércio atacadista de papel e papelão em bruto e de embalagens;46.8
46.87-7;Comércio atacadista de resíduos e sucatas;46.8
46.89-3;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente;46.8
46.91-5;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;46.9
46.92-3;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;46.9
46.93-1;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;46.9
47.11-3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;47.1
47.12-1;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;47.1
47.13-0;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;47.1
47.21-1;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;47.2
47.22-9;Comércio varejista de carnes e pescados - açougues e peixarias;47.2
47.23-7;Comércio varejista de bebidas;47.2
47.24-5;Comércio varejista de hortifrutigranjeiros;47.2
47.29-6;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";47.2
47.31-8;Comércio varejista de combustíveis para veículos automotores;47.3
47.32-6;Comércio varejista de lubrificantes;47.3
47.41-5;Comércio varejista de tintas e materiais para pintura;47.4
47.42-3;Comércio varejista de material elétrico;47.4
47.43-1;Comércio varejista de vidros;47.4
47.44-0;Comércio varejista de ferragens, madeira e materiais de construção;47.4
47.51-2;Comércio varejista especializado de equipamentos e suprimentos de informática;47.5
47.52-1;Comércio varejista especializado de equipamentos de telefonia e comunicação;47.5
47.53-9;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;47.5
47.54-7;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação;47.5
47.55-5;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho;47.5
47.56-3;Comércio varejista especializado de instrumentos musicais e acessórios;47.5
47.57-1;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;47.5
47.59-8;Comércio varejista de artigos de uso doméstico não especificados anteriormente;47.5
47.61-0;Comércio varejista de livros, jornais, revistas e papelaria;47.6
47.62-8;Comércio varejista de discos, CDs, DVDs e fitas;47.6
47.63-6;Comércio varejista de artigos recreativos e esportivos;47.6
47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;47.7
47.72-5;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;47.7
47.73-3;Comércio varejista de artigos médicos e ortopédicos;47.7
47.74-1;Comércio varejista de artigos de óptica;47.7
47.81-4;Comércio varejista de artigos do vestuário e acessórios;47.8
47.82-2;Comércio varejista de calçados e artigos de viagem;47.8
47.83-1;Comércio varejista de jóias e relógios;47.8
47.84-9;Comércio varejista de gás liqüefeito de petróleo (GLP);47.8
47.85-7;Comércio varejista de artigos usados;47.8
47.89-0;Comércio varejista de outros produtos novos não especificados anteriormente;47.8
47.90-3;Comércio ambulante e outros tipos de comércio varejista;47.9
49.11-6;Transporte ferroviário de carga;49.1
49.12-4;Transporte metroferroviário de passageiros;49.1
49.21-3;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana;49.2
49.22-1;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional;49.2
49.23-0;Transporte rodoviário de táxi;49.2
49.24-8;Transporte escolar;49.2
49.29-9;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente;49.2
49.30-2;Transporte rodoviário de carga;49.3
49.40-0;Transporte dutoviário;49.4
49.50-7;Trens turísticos, teleféricos e similares;49.5
50.11-4;Transporte marítimo de cabotagem;50.1
50.12-2;Transporte marítimo de longo curso;50.1
50.21-1;Transporte por navegação interior de carga;50.2
50.22-0;Transporte por navegação interior de passageiros em linhas regulares;50.2
50.30-1;Navegação de apoio;50.3
50.91-2;Transporte por navegação de travessia;50.9
50.99-8;Transportes aquaviários não especificados anteriormente;50.9
51.11-1;Transporte aéreo de passageiros regular;51.1
51.12-9;Transporte aéreo de passageiros não-regular;51.1
51.20-0;Transporte aéreo de carga;51.2
51.30-7;Transporte espacial;51.3
52.11-7;Armazenamento;52.1
52.12-5;Carga e descarga;52.1
52.21-4;Concessionárias de rodovias, pontes, túneis e serviços relacionados;52.2
52.22-2;Terminais rodoviários e ferroviários;52.2
52.23-1;Estacionamento de veículos;52.2
52.29-0;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;52.2
52.31-1;Gestão de portos e terminais;52.3
52.32-0;Atividades de agenciamento marítimo;52.3
52.39-7;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;52.3
52.40-1;Atividades auxiliares dos transportes aéreos;52.4
52.50-8;Atividades relacionadas à organização do transporte de carga;52.5
53.20-2;Atividades de malote e de entrega;53.2
55.10-8;Hotéis e similares;55.1
55.90-6;Outros tipos de alojamento não especificados anteriormente;55.9
56.11-2;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;56.1
56.12-1;Serviços ambulantes de alimentação;56.1
56.20-1;Serviços de catering, bufê e outros serviços de comida preparada;56.2
58.11-5;Edição de livros;58.1
58.12-3;Edição de jornais;58.1
58.13-1;Edição de revistas;58.1
58.19-1;Edição de cadastros, listas e outros produtos gráficos;58.1
58.21-2;Edição integrada à impressão de livros;58.2
58.22-1;Edição integrada à impressão de jornais;58.2
58.23-9;Edição integrada à impressão de revistas;58.2
58.29-8;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;58.2
59.11-1;Atividades de produção cinematográfica, de vídeos e de programas de televisão;59.1
59.12-0;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão;59.1
59.13-8;Distribuição cinematográfica, de vídeo e de programas de televisão;59.1
59.14-6;Atividades de exibição cinematográfica;59.1
59.20-1;Atividades de gravação de som e de edição de música;59.2
60.10-1;Atividades de rádio;60.1
60.21-7;Atividades de televisão aberta;60.2
60.22-5;Programadoras e atividades relacionadas à televisão por assinatura;60.2
61.10-8;Telecomunicações por fio;61.1
61.20-5;Telecomunicações sem fio;61.2
61.30-2;Telecomunicações por satélite;61.3
61.41-8;Operadoras de televisão por assinatura por cabo;61.4
61.42-6;Operadoras de televisão por assinatura por microondas;61.4
61.43-4;Operadoras de televisão por assinatura por satélite;61.4
61.90-6;Outras atividades de telecomunicações;61.9
62.01-5;Desenvolvimento de programas de computador sob encomenda;62.0
62.02-3;Desenvolvimento e licenciamento de programas de computador customizáveis;62.0
62.03-1;Desenvolvimento e licenciamento de programas de computador não-customizáveis;62.0
62.04-0;Consultoria em tecnologia da informação;62.0
62.09-1;Suporte técnico, manutenção e outros serviços em tecnologia da informação;62.0
63.11-9;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;63.1
63.19-4;Portais, provedores de conteúdo e outros serviços de informação na internet;63.1
63.91-7;Agências de notícias;63.9
63.99-2;Outras atividades de prestação de serviços de informação não especificadas anteriormente;63.9
64.10-7;Banco Central;64.1
64.21-2;Bancos comerciais;64.2
64.22-1;Bancos múltiplos, com carteira comercial;64.2
64.23-9;Caixas econômicas;64.2
64.24-7;Crédito cooperativo;64.2
64.31-0;Bancos múltiplos, sem carteira comercial;64.3
64.32-8;Bancos de investimento;64.3
64.33-6;Bancos de desenvolvimento;64.3
64.34-4;Agências de fomento;64.3
64.35-2;Crédito imobiliário;64.3
64.36-1;Sociedades de crédito, financiamento e investimento - financeiras;64.3
64.37-9;Sociedades de crédito ao microempreendedor;64.3
64.38-7;Bancos de câmbio e outras instituições de intermediação não-monetária;64.3
64.40-9;Arrendamento mercantil;64.4
64.50-6;Sociedades de capitalização;64.5
64.61-1;Holdings de instituições financeiras;64.6
64.62-0;Holdings de instituições não-financeiras;64.6
64.63-8;Outras sociedades de participação, exceto holdings;64.6
64.70-1;Fundos de investimento;64.7
64.91-3;Sociedades de fomento mercantil - factoring;64.9
64.92-1;Securitização de créditos;64.9
64.93-0;Administração de consórcios para aquisição de bens e direitos;64.9
64.99-9;Outras atividades de serviços financeiros não especificadas anteriormente;64.9
65.11-1;Seguros de vida;65.1
65.12-0;Seguros não-vida;65.1
65.20-1;Seguros-saúde;65.2
65.30-8;Resseguros;65.3
65.41-3;Previdência complementar fechada;65.4
65.42-1;Previdência complementar aberta;65.4
65.50-2;Planos de saúde;65.5
66.11-8;Administração de bolsas e mercados de balcão organizados;66.1
66.12-6;Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias;66.1
66.13-4;Administração de cartões de crédito;66.1
66.19-3;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;66.1
66.21-5;Avaliação de riscos e perdas;66.2
66.22-3;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;66.2
66.29-1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;66.2
66.30-4;Atividades de administração de fundos por contrato ou comissão;66.3
68.10-2;Atividades imobiliárias de imóveis próprios;68.1
68.21-8;Intermediação na compra, venda e aluguel de imóveis;68.2
68.22-6;Gestão e administração da propriedade imobiliária;68.2
69.11-7;Atividades jurídicas, exceto cartórios;69.1
69.12-5;Cartórios;69.1
69.20-6;Atividades de contabilidade, consultoria e auditoria contábil e tributária;69.2
70.10-7;Sedes de empresas e unidades administrativas locais;70.1
70.20-4;Atividades de consultoria em gestão empresarial;70.2
71.11-1;Serviços de arquitetura;71.1
71.12-0;Serviços de engenharia;71.1
71.19-7;Atividades técnicas relacionadas à arquitetura e engenharia;71.1
71.20-1;Testes e análises técnicas;71.2
72.10-0;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;72.1
72.20-7;Pesquisa e desenvolvimento experimental em ciências sociais e humanas;72.2
73.11-4;Agências de publicidade;73.1
73.12-2;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;73.1
73.19-0;Atividades de publicidade não especificadas anteriormente;73.1
73.20-3;Pesquisas de mercado e de opinião pública;73.2
74.10-2;Design e decoração de interiores;74.1
74.20-0;Atividades fotográficas e similares;74.2
74.90-1;Atividades profissionais, científicas e técnicas não especificadas anteriormente;74.9
75.00-1;Atividades veterinárias;75.0
77.11-0;Locação de automóveis sem condutor;77.1
77.19-5;Locação de meios de transporte, exceto automóveis, sem condutor;77.1
77.21-7;Aluguel de equipamentos recreativos e esportivos;77.2
77.22-5;Aluguel de fitas de vídeo, DVDs e similares;77.2
77.23-3;Aluguel de objetos do vestuário, jóias e acessórios;77.2
77.29-2;Aluguel de objetos pessoais e domésticos não especificados anteriormente;77.2
77.31-4;Aluguel de máquinas e equipamentos agrícolas sem operador;77.3
77.32-2;Aluguel de máquinas e equipamentos para construção sem operador;77.3
77.33-1;Aluguel de máquinas e equipamentos para escritório;77.3
77.39-0;Aluguel de máquinas e equipamentos não especificados anteriormente;77.3
77.40-3;Gestão de ativos intangíveis não-financeiros;77.4
78.10-8;Seleção e agenciamento de mão-de-obra;78.1
78.20-5;Locação de mão-de-obra temporária;78.2
78.30-2;Fornecimento e gestão de recursos humanos para terceiros;78.3
79.11-2;Agências de viagens;79.1
79.12-1;Operadores turísticos;79.1
79.90-2;Serviços de reservas e outros serviços de turismo não especificados anteriormente;79.9
80.11-1;Atividades de vigilância e segurança privada;80.1
80.12-9;Atividades de transporte de valores;80.1
80.20-0;Atividades de monitoramento de sistemas de segurança;80.2
80.30-7;Atividades de investigação particular;80.3
81.11-7;Serviços combinados para apoio a edifícios, exceto condomínios prediais;81.1
81.12-5;Condomínios prediais;81.1
81.21-4;Limpeza em prédios e em domicílios;81.2
81.22-2;Imunização e controle de pragas urbanas;81.2
81.29-0;Atividades de limpeza não especificadas anteriormente;81.2
81.30-3;Atividades paisagísticas;81.3
82.11-3;Serviços combinados de escritório e apoio administrativo;82.1
82.19-9;Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo;82.1
82.20-2;Atividades de teleatendimento;82.2
82.30-0;Atividades de organização de eventos, exceto culturais e esportivos;82.3
82.91-1;Atividades de cobrança e informações cadastrais;82.9
82.92-0;Envasamento e empacotamento sob contrato;82.9
82.99-7;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente;82.9
84.11-6;Administração pública em geral;84.1
84.12-4;Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais;84.1
84.13-2;Regulação das atividades econômicas;84.1
84.21-3;Relações exteriores;84.2
84.22-1;Defesa;84.2
84.23-0;Justiça;84.2
84.24-8;Segurança e ordem pública;84.2
84.25-6;Defesa Civil;84.2
84.30-2;Seguridade social obrigatória;84.3
85.11-2;Educação infantil - creche;85.1
85.12-1;Educação infantil - pré-escola;85.1
85.13-9;Ensino fundamental;85.1
85.20-1;Ensino médio;85.2
85.31-7;Educação superior - graduação;85.3
85.32-5;Educação superior - graduação e pós-graduação;85.3
85.33-3;Educação superior - pós-graduação e extensão;85.3
85.41-4;Educação profissional de nível técnico;85.4
85.42-2;Educação profissional de nível tecnológico;85.4
85.50-3;Atividades de apoio à educação;85.5
85.91-1;Ensino de esportes;85.9
85.92-9;Ensino de arte e cultura;85.9
85.93-7;Ensino de idiomas;85.9
85.99-6;Atividades de ensino não especificadas anteriormente;85.9
86.10-1;Atividades de atendimento hospitalar;86.1
86.21-6;Serviços móveis de atendimento a urgências;86.2
86.22-4;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências;86.2
86.30-5;Atividades de atenção ambulatorial executadas por médicos e odontólogos;86.3
86.40-2;Atividades de serviços de complementação diagnóstica e terapêutica;86.4
86.50-0;Atividades de profissionais da área de saúde, exceto médicos e odontólogos;86.5
86.60-7;Atividades de apoio à gestão de saúde;86.6
86.90-9;Atividades de atenção à saúde humana não especificadas anteriormente;86.9
87.11-5;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;87.1
87.12-3;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;87.1
87.20-4;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;87.2
87.30-1;Atividades de assistência social prestadas em residências coletivas e particulares;87.3
88.00-6;Serviços de assistência social sem alojamento;88.0
90.01-9;Artes cênicas, espetáculos e atividades complementares;90.0
90.02-7;Criação artística;90.0
90.03-5;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;90.0
91.01-5;Atividades de bibliotecas e arquivos;91.0
91.02-3;Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares;91.0
91.03-1;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental;91.0
92.00-3;Atividades de exploração de jogos de azar e apostas;92.0
93.11-5;Gestão de instalações de esportes;93.1
93.12-3;Clubes sociais, esportivos e similares;93.1
93.13-1;Atividades de condicionamento físico;93.1
93.19-1;Atividades esportivas não especificadas anteriormente;93.1
93.21-2;Parques de diversão e parques temáticos;93.2
93.29-8;Atividades de recreação e lazer não especificadas anteriormente;93.2
94.11-1;Atividades de organizações associativas patronais e empresariais;94.1
94.12-0;Atividades de organizações associativas profissionais;94.1
94.20-1;Atividades de organizações sindicais;94.2
94.30-8;Atividades de associações de defesa de direitos sociais;94.3
94.91-0;Atividades de organizações religiosas;94.9
94.92-8;Atividades de organizações políticas;94.9
94.93-6;Atividades de organizações associativas ligadas à cultura e à arte;94.9
94.99-5;Atividades associativas não especificadas anteriormente;94.9
95.11-8;Reparação e manutenção de computadores e de equipamentos periféricos;95.1
95.12-6;Reparação e manutenção de equipamentos de comunicação;95.1
95.21-5;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;95.2
95.29-1;Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente;95.2
96.01-7;Lavanderias, tinturarias e toalheiros;96.0
96.02-5;Cabeleireiros e outras atividades de tratamento de beleza;96.0
96.03-3;Atividades funerárias e serviços relacionados;96.0
96.09-2;Atividades de serviços pessoais não especificadas anteriormente;96.0
97.00-5;Serviços domésticos;97.0
99.00-8;Organismos internacionais e outras instituições extraterritoriais;99.0
